TOKEN			LEXEME
seperator 		%%
keyword 		integer
identifier 		i
seperator 		,
identifier 		tejas
seperator 		,
identifier 		temp
seperator 		;
identifier 		i
operator 		:=
integer 		3
seperator 		;
identifier 		tejas
operator 		:=
integer 		10
seperator 		;
invalid 		temp:=0
keyword 		for
seperator 		;
seperator 		(
identifier 		i
operator 		<
identifier 		tejas
seperator 		)
seperator 		{
identifier 		i
operator 		=
identifier 		i
operator 		+
integer 		1
seperator 		;
invalid 		temp=temp+1
seperator 		}
